               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088439,            0.033542,            0.033861,             0.69452,             0.12326,            0.082583,            0.030408,             0.07132,            0.020278,            0.014762,             0.07039,             0.00329,             0.00329
                   1,            0.065801,             0.02825,            0.013869,             0.44238,             0.31853,             0.20411,            0.080157,            0.062047,            0.016385,           0.0085585,            0.040062,           0.0062955,           0.0062955
                   2,            0.062104,            0.025493,           0.0086801,             0.50872,             0.38481,             0.30559,             0.12384,            0.059765,            0.015324,           0.0068062,           0.0094039,            0.008971,            0.008971
                   3,            0.054727,            0.024681,           0.0065261,             0.63819,             0.38965,             0.36304,             0.15777,            0.052443,            0.016634,           0.0072873,            0.008515,            0.008515,            0.008515
                   4,            0.049301,             0.02378,            0.005231,             0.64586,             0.42893,             0.41503,             0.18648,            0.047672,            0.016313,            0.006838,            0.008515,            0.008515,            0.008515
                   5,            0.046519,            0.023403,           0.0050151,             0.73103,             0.38928,             0.42005,              0.2079,            0.045945,            0.015656,           0.0064568,             0.00802,             0.00802,             0.00802
                   6,            0.045054,            0.023325,           0.0043791,             0.68579,             0.43864,             0.43208,             0.20869,            0.046813,             0.01658,           0.0064034,            0.007525,            0.007525,            0.007525
                   7,            0.043805,            0.023286,           0.0038328,             0.69784,             0.42031,             0.44456,             0.22879,            0.043834,            0.015611,           0.0054228,             0.00703,             0.00703,             0.00703
                   8,            0.041871,            0.022336,           0.0039132,             0.73133,             0.43434,             0.45805,             0.23978,            0.042559,            0.014994,           0.0048676,            0.006535,            0.006535,            0.006535
                   9,            0.040266,            0.021812,           0.0036615,             0.74855,              0.4633,             0.48593,             0.26193,            0.041207,            0.014842,           0.0040921,             0.00604,             0.00604,             0.00604
                  10,            0.039506,            0.021853,           0.0030372,             0.75664,             0.47322,             0.50357,             0.27695,            0.039727,            0.015063,           0.0037922,            0.005545,            0.005545,            0.005545
                  11,            0.038045,            0.021173,           0.0028796,             0.71728,             0.49914,             0.48455,             0.24826,            0.041738,            0.014846,           0.0037406,             0.00505,             0.00505,             0.00505
                  12,            0.037364,            0.020838,           0.0024929,             0.73691,             0.50542,             0.51346,             0.27662,            0.040136,            0.014768,           0.0052004,            0.004555,            0.004555,            0.004555
                  13,            0.036325,            0.020644,           0.0022013,             0.75889,              0.5224,             0.52584,              0.2943,            0.038887,            0.014544,           0.0041189,             0.00406,             0.00406,             0.00406
                  14,            0.034903,            0.019793,           0.0021729,              0.7559,             0.51534,             0.53129,             0.30548,            0.038613,            0.014579,           0.0038845,            0.003565,            0.003565,            0.003565
                  15,            0.034615,            0.019221,           0.0021007,             0.76035,             0.52893,             0.52568,             0.30415,             0.03817,            0.014611,           0.0041094,             0.00307,             0.00307,             0.00307
                  16,            0.033719,            0.019708,           0.0018391,             0.72941,             0.52269,             0.52944,             0.30372,            0.038334,            0.014725,           0.0043553,            0.002575,            0.002575,            0.002575
                  17,             0.03244,            0.019185,           0.0015631,               0.763,             0.50524,             0.54385,             0.30834,            0.037773,            0.014809,           0.0048553,             0.00208,             0.00208,             0.00208
                  18,             0.03179,            0.018713,           0.0015988,             0.77682,             0.49802,             0.59755,             0.35364,            0.037712,            0.014653,           0.0043439,            0.001585,            0.001585,            0.001585
                  19,            0.031415,            0.018519,           0.0014515,             0.77664,             0.52859,             0.55151,             0.31588,            0.037408,            0.014819,           0.0043243,             0.00109,             0.00109,             0.00109
